epoch,train_loss,val_loss,val_rmse
1,0.10082890075937138,0.029543767634972157,0.03403289300840227
2,0.044595733292459326,0.019807845012718938,0.025340078089791735
3,0.024114252536233737,0.00999545861792517,0.013706006081280548
4,0.014259899832243477,0.007016793965729347,0.010532500388260412
5,0.010202146202259425,0.005356592712441526,0.008435850892900366
6,0.0088517933251222,0.005374590450697448,0.008370697567714637
7,0.00858474137811253,0.005347030237317085,0.008305023928799345
8,0.00864315941833385,0.005397141836880451,0.00825153584666725
9,0.008597762762999082,0.0055755013228946946,0.008366244250578874
10,0.00859274538721966,0.005309962912414416,0.008236094831406103
11,0.008617249346811877,0.005402855237433873,0.008330193558063071
12,0.00858339481865926,0.005855827666522259,0.008726343662751542
13,0.008495576588807277,0.0053900484982655344,0.008397774666728183
14,0.008546245770689765,0.00527817521066186,0.008258409908432775
15,0.008507158336917888,0.005317824009612974,0.008232334123485415
16,0.008547078876870942,0.005271125647918399,0.00820897945749479
17,0.008538495760301154,0.005369908948135803,0.0083864859232524
18,0.008577402945609481,0.005661424037915064,0.008390936735186665
19,0.008522724887087812,0.005447523364151616,0.008434343963305264
20,0.008565512406364093,0.005234593555212496,0.008238637372763724
21,0.008479904872893894,0.005541102656448979,0.008313469095651326
22,0.00853333794827038,0.0052891679931862425,0.008235399106216528
23,0.00848238747831732,0.005380882473432448,0.008368082117975373
24,0.008522549190208926,0.0053406530041321815,0.008244276126044224
25,0.008491838953791532,0.005343318779570648,0.008209321578111654
26,0.008508300142840527,0.005599139900173087,0.008350651572111959
27,0.008494161000033043,0.005312190094287414,0.008226277239762252
28,0.008519947524096539,0.0052947206942149366,0.008324959110449873
29,0.008437575971987908,0.0052320101962562105,0.008206980514460328
30,0.00844329749600582,0.005277261701950514,0.008233554155993337
31,0.008441793842906314,0.005433537744994895,0.008280279545079339
32,0.008479175084631566,0.00534263796792681,0.008218790268079802
33,0.00841864158964362,0.005502892339015862,0.008286442275301356
34,0.008430514969769529,0.005233496019386675,0.008181050752329456
35,0.00842022136290084,0.005255927097987369,0.008212187386238709
36,0.008429120233392711,0.0053626584497640335,0.008221871804130176
37,0.008410845906705884,0.005276091370835485,0.008259802268681681
38,0.00839946243001803,0.0054011077608957705,0.008243764674442612
39,0.008399448902325446,0.005236893198434338,0.008179611184976536
40,0.008408677193942645,0.005238960293006612,0.008199711515869167
41,0.00838337246766885,0.005242157475169437,0.008218775660892684
42,0.008394332414399299,0.005364098563879372,0.008243701568206425
43,0.008380936058453541,0.0052371542989851465,0.008200148077063596
44,0.008379376849087274,0.005233740070426606,0.008183392565491665
